ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
514;Concierto para flauta y cuerda;Bach; Carl Philipp;Re m;24' 22;
515;Suite Dolly;Faure; Gabriel;56;17' 49;
516;Seis piezas para piano;Brahms; Johannes;118;24' 55;
517;Variaciones sobre un tema de corelli;Rachmaninov; Sergei;42;15' 31;
518;Concerto “Alla rustica”;Vivaldi; Antonio;Sol M;RV 151;5' 01
519;Suite Francesa n. 6;Bach; Johann Sebastian;Mi M;BWV 0817;11' 42
520;Obertura “Criaturas de Prometeo”;Beethoven; Ludwig Van;43;5' 30;
521;Vals Cancion de amor;Strauss; Johann (Hijo);114;9' 44;
522;Suites de Danzas para orquesta;Bartok; Bela;17' 45;;
523;Nadie excepto el corazon solitario;Tchaikovsky; Piotr Ilyich;006 / 6;3' 11;
524;Cuarteto de cuerdas n. 13;Beethoven; Ludwig Van;Si b M;130;36' 09
525;Preludio para la siesta de un Fauno;Debussy; Claude;10' 18;;
526;Misa Papa Marcelli;Palestrina; Giovanni Pierluigi ;48;32' 49;
527;Danza hungara n. 5;Brahms; Johannes;2' 21;;
528;Danzas folkloricas Rumanas;Bartok; Bela;Sz 056;4' 36;
529;Cancion de cuna;Tchaikovsky; Piotr Ilyich;016 / 1;3' 27;
530;Sinfonia n. 8 “Inacabada”. 2º movimiento.;Schubert; Franz;Si m ;D 759;10' 30
531;Sinfonia n. 6;Beethoven; Ludwig Van;Fa M;69;42' 40
532;Mazurca n. 44;Chopin; Frederic;Do M;67 / 3;1' 45
533;Sinfonia n. 104, “Salomon”;Haydn; Franz Joseph;Re M;25' 35;
534;Concierto a quatro n. 2;Galuppi; Baldassare;5' 58;;
535;Quinteto para piano;Dvorak; Antonin;La M;81;36' 51
536;Danza hungara n. 21;Brahms; Johannes;1' 29;;
537;Sonata para violin y piano;Hindemith; Paul;Mi M;8' 57;
538;Serenata “Gran Partita”;Mozart; Wolfgang Amadeus;Si b M;K 361;37' 04
539;Laudate Dominum y Magnificat ;Mozart; Wolfgang Amadeus;K 339;9' 33;
540;Nocturno n. 4;Chopin; Frederic;Fa M;15-ene;4' 27
541;Obertura de La forza del destino.;Verdi; Giuseppe;8' 05;;
542;Nocturno n. 13;Chopin; Frederic;Do m;48 / 1;6' 18
543;Al Ruisegnor;Schubert; Franz;D 497;1' 45;
544;Adios nonino;Piazzolla; Astor;4' 50;;
545;Miniatura n. 1;Kukuric; S.;2' 22;;
546;Musica para el Rey Lear;Debussy; Claude;4' 47;;
547;Obertura “Consagracion de la Casa”;Beethoven; Ludwig Van;124;11' 08;
548;Polka poco danzante;Tchaikovsky; Piotr Ilyich;Si m;051 / 2;4' 04
549;La creacion;Haydn; Franz Joseph;116' 02;;
550;Romance anonimo;Anonimo;3' 12;;;
551;Concierto para cuerno frances y orquesta;Mozart; Wolfgang Amadeus;Mi b M;K 447;14' 51
552;Vals n. 7;Chopin; Frederic;Do # m;64 / 2;3' 25
553;Iberia. Cuaderno n. 3.;Albeniz; Isaac;19' 29;;
554;La bruja del mediodia. Poema sinfonico.;Dvorak; Antonin;108;14' 39;
555;Petruchka (Escenas burlescas en 4 cuadros);Stravinsky; Igor;32' 23;;
556;Danza de las jovenes doncellas (Gayane);Khachaturian; Aram;1' 59;;
557;Variaciones sobre un tema de Haendel;Brahms; Johannes;Si b;24;27' 12
558;Danza Caracteristica;Brouwer; Leo;2' 00;;
559;Piezas liricas – Libro 10;Grieg; Edvard Hagerup;71;4' 27;
560;Piezas liricas – Libro 9;Grieg; Edvard Hagerup;68;2' 11;
561;Banco de Vacaciones;Ketelbey; Albert;2' 47;;
562;Concierto para 2 clavicordios, cuerdas y continuo;Bach; Johann Sebastian;Do M;BWV 1061;17' 22
563;Mazurca en Sol Mayor;Tarrega; Francisco;Sol M;3' 06;
564;Bachianas Brasileiras n. 9;Villa-Lobos; Heitor;10' 56;;
565;El pajaro de fuego (suite version 1919);Stravinsky; Igor;20' 52;;
566;Amor y vida de mujer;Schumann; Robert;42;22' 13;
567;Suite (obertura) n. 5;Bach; Johann Sebastian;Sol m;BWV 1070;21' 41
568;Maxixe;Barrios; Agustin;3' 18;;
569;Sevilla de la Suite Espagnola;Albeniz; Isaac;4' 33;;
570;Sinfonia n. 6;Dvorak; Antonin;Re M;60;39' 54
571;Danzas Eslavas para piano a cuatro manos;Dvorak; Antonin;46;35' 15;
572;Concierto para cuatro violines sin continuo;Telemann; Georg Philipp;Re M;6' 26;
573;Obertura “Libusa”;Smetana; Bedrich;8' 40;;
574;Reverie;Tchaikovsky; Piotr Ilyich;Re M;009 / 1;5' 51
575;Suite “Lulu”;Berg; Alban;24' 01;;
576;Nocturno n. 15;Chopin; Frederic;Fa m;55 / 1;4' 41
577;Francesca da Rimini;Tchaikovsky; Piotr Ilyich;32;24' 14;
578;Preludio n. 4;Villa-Lobos; Heitor;3' 24;;
579;Iberia. Cuaderno n. 1.;Albeniz; Isaac;17' 42;;
580;Orgia de las danzas fantasticas;Turina; Joaquin;13' 42;;
581;Obertura “La gran Pascua Rusa”;Rimsky-Korsakov; Nicolai;36;14' 53;
582;Ave Maria;Schubert; Franz;D 839;8' 04;
583;Elegia;Rachmaninov; Sergei;Mi b m;03-ene;5' 33
584;Arabesque;Debussy; Claude;4' 25;;
585;Ariodante. Aria: “Con l'ali di costanza”;Haendel; Georges Friederic; ; ;6' 16
586;Concierto para violin;Bruch; Max;Sol m;26;24' 15
587;Tangosain;Bacalov; Luis;7' 59;;
588;Suite;Bach; Johann Sebastian;Sol M;18' 48;
589;Sinfonia n. 8;Dvorak; Antonin;Sol M;88;36' 58
590;Concierto para oboe y orquesta;Mozart; Wolfgang Amadeus;Do M;K 314;19' 50
591;Danza de los marinos rusos (El pavo rojo);Gliere; Reinhold;3' 23;;
592;Octeto;Schubert; Franz;Fa M;D 803;56' 19
593;Pavana para una infanta difunta;Ravel; Maurice;7' 13;;
594;Sinfonia concertante para violin, viola y orquesta;Mozart; Wolfgang Amadeus;K 364;29' 17;
595;Gran Fuga;Beethoven; Ludwig Van;Si b M;133;15' 31
596;Diez melodias vascas;Guridi; Jesus;19' 20;;
597;Barcarola;Tansman; Alexandre;2' 45;;
598;Misa del Credo.;Mozart; Wolfgang Amadeus;Do M;K 257;26' 10
599;“Musica Acuatica”, Suite n. 2;Haendel; Georges Friederic;Re M;HV 349;11' 57
600;Danza de los acrobatas (La doncella de las nieves);Rimsky-Korsakov; Nicolai;3' 25;;
601;Concierto para violin y orquesta;Brahms; Johannes;Re M;77;40' 4
602;Sinfonia n. 2 (La edad de la Ansiedad);Bernstein; Leonard;32' 00;;
603;Don Giovanni (Obertura);Mozart; Wolfgang Amadeus;K 527;5' 57;
604;Trio para piano n. 4 “Dumky”;Dvorak; Antonin;Mi m;90;30' 08
605;Rumba;Salzedo; Carlos;2' 09;;
606;Concierto para violin y orquestra;Barber; Samuel;14;24' 05;
607;Por las orillas de su lejano pais;Borodin; Alexander;4' 27;;
608;Sinfonia n. 5;Schubert; Franz;Si b M;D 485;30' 18
609;Sonata para piano n. 11;Mozart; Wolfgang Amadeus;La M;K 331;23' 30
610;Cancion del destino;Brahms; Johannes;54;16' 37;
611;Concierto de Aranjuez;Rodrigo; Joaquin;20' 49;;
612;Sinfonietta;Janacêk; Leos;23' 05;;
613;Concierto Dumbarton;Stravinsky; Igor;4' 58;;
614;Sinfonia n. 1;Schubert; Franz;Re M;D 082;28' 47
615;El clave bien temperado. Parte 2. n. 13-24.;Bach; Johann Sebastian;BWV 0880;66' 33;
616;La jota de la dolores;Breton; Tomas;7' 31;;
617;Misa de Requiem en 6 partes;De Victoria; Tomas Luis;34' 06;;
618;Preludio y fuga sobre Bach;Liszt; Franz;11' 17;;
619;Tema y variaciones de la Suite n. 3;Tchaikovsky; Piotr Ilyich;Sol m;55;19' 58
620;Romeo y Julieta. Fantasia. Obertura.;Tchaikovsky; Piotr Ilyich;42' 36;;
621;Nocturno n. 1;Chopin; Frederic;Si b m;09-ene;5' 42
622;Espagna: Seis hojas de album;Albeniz; Isaac;16' 49;;
623;Concierto para orquesta;Bartok; Bela;Sz 116;37' 34;
624;Seis conciertos. 2. “La Notte”.;Vivaldi; Antonio;RV 439 (10);7' 56;
625;Zapateado;Sarasate; Pablo;4' 00;;
626;Romanzas y Baladas (Abends am Strand);Schumann; Robert;045 / 3;3' 07;
627;Vier Gesange (Mein Wagen rollet langsam);Schumann; Robert;142 / 4;2' 39;
628;Los Planetas;Holst; Gustav;32;50' 56;
629;Obertura solemne “1812”;Tchaikovsky; Piotr Ilyich;49;15' 16;
630;Imprompto n. 1;Chopin; Frederic;La b M;29;4' 39
631;Suite Francesa n. 3;Bach; Johann Sebastian;Si m;BWV 0814;14' 29
632;Concierto para piano y orquesta n. 1;Chopin; Frederic;Mi m;11;39' 50
633;El cascanueces;Tchaikovsky; Piotr Ilyich;71;87' 44;
634;El sol se escondio;Tchaikovsky; Piotr Ilyich;073 / 4;1' 56;
635;Pavana;Faure; Gabriel;50;6' 47;
636;Cuarteto para cuerdas, “La caza”;Haydn; Franz Joseph;Si M;01-ene;17' 18
637;Islamej - Fantasia oriental;Balakirev; Mili;8' 52;;
638;Nocturno n. 17;Chopin; Frederic;Si M;62 / 1;8' 16
639;Intermedios;Brahms; Johannes;117;16' 18;
640;CaprichoEspagnol;Rimsky-Korsakov; Nicolai;17' 41;;
641;Sinfonia n. 4, “Italiana”;Mendelssohn-Bartholdy; Felix;La M;90;26' 24
642;Choros n. 1.;Villa-Lobos; Heitor;4' 11;;
643;Sonata para dos pianos;Brahms; Johannes;Fa m;034 b;40' 36
644;Tocata y fuga. Tocata.;Bach; Johann Sebastian;Re m;BWV 0565;2' 37
645;Cuarteto para cuerdas “Emperador”;Haydn; Franz Joseph;Do M;76 / 3;26' 35
646;Margaritas alrededor;Schubert; Franz;D 118;3' 20;
647;Sinfonia n. 8 “Incompleta”;Schubert; Franz;Si m;D 759;26' 21
648;Sonata para piano n. 32;Beethoven; Ludwig Van;Do m;111;33' 26
649;Danza hungara n. 14;Brahms; Johannes;2' 25;;
650;Suite n. 2;Bach; Johann Sebastian;Re M;BWV 1068;20' 01
651;Habanera;Saint-Saens; Camille;83;9' 51;
652;Sonata para piano n. 26. Los adioses;Beethoven; Ludwig Van;Mi M;081 a;17' 09
653;Vals n. 15;Brahms; Johannes;La # M;039 / 15;1' 50
654;En la mistica tierra de Egipto;Ketelbey; Albert;6' 27;;
655;Die Biene;Schubert; Franz;1' 07;;
656;Divertimento;Mozart; Wolfgang Amadeus;Fa M;K 213;9' 26
657;Ave Maria;Gounod; Charles (Bach);2' 48;;
658;Quinteto para piano n. 2;Faure; Gabriel;Do m;115;33' 27
659;Vals Bombones vieneses;Strauss; Johann (Hijo);307;9' 35;
660;Sonata para clavicembalo;Scarlatti; Domenico;Fa M;K 524;2' 34
661;Musica de las esferas;Strauss; Joseph;325;9' 10;
662;Mil y una noches;Strauss; Johann (Hijo);346;8' 56;
663;Fantasia (Allegro y andante);Mozart; Wolfgang Amadeus;Fa m;K 608;10' 06
664;Rapsodia para violin y orquesta n. 1;Bartok; Bela;11' 08;;
665;Ave Maria (Instrumental).;Schubert; Franz;D 839;5' 18;
666;Piezas para piano;Brahms; Johannes;76;28' 02;
667;Sonatina;Ravel; Maurice;9' 46;;
668;Danza hungara n. 2;Brahms; Johannes;2' 48;;
669;¿ Por que ?;Tchaikovsky; Piotr Ilyich;006 / 5;3' 26;
670;Obertura “Coriolano”;Beethoven; Ludwig Van;62;8' 26;
671;El Vals de Mefistofeles;Liszt; Franz;11' 38;;
672;Fuente cantarina. Nocturno para arpa.;Niemann; Albert;4' 49;;
673;La traviata;Verdi; Giuseppe;70' 58;;
674;Sinfonia n. 10;Manfredini; Francesco;Mi m;9' 30;
675;Decepcion;Tchaikovsky; Piotr Ilyich;065 / 2;2' 32;
676;Variaciones sobre un tema original “Enigma”;Elgar; Edward;36;29' 55;
677;Cuarteto para piano n. 2;Faure; Gabriel;Sol m;45;34' 17
678;Scherzino Mexicano;Ponce; Manuel;2' 22;;
679;Sinfonia n. 8;Beethoven; Ludwig Van;Fa M;93;28' 02
680;Alborada;Tarrega; Francisco;1' 48;;
681;Cuatro danzas para Rodeo;Copland; Aaron;21' 28;;
682;Homenaje a Claude Debussy;Falla; Manuel de;3' 08;;
683;Vals Vida de artistas;Strauss; Johann (Hijo);316;10' 34;
684;Soneto a Cordoba;Falla; Manuel de;2' 41;;
685;“Musica Acuatica”, Suite n. 3;Haendel; Georges Friederic;Sol M;HV 350;10' 44
686;Nocturno n. 2;Chopin; Frederic;Mi b M;09-feb;4' 33
687;Campanas a traves de las praderas.;Ketelbey; Albert;4' 38;;
688;Primavera en los apalaches;Copland; Aaron;23' 43;;
689;Scherzino;Tansman; Alexandre;2' 38;;
690;Romeo y Julieta. Suite n. 1;Prokofiev; Sergei;64 a;26' 22;
691;Iberia. Cuaderno n. 4.;Albeniz; Isaac;19' 25;;
692;Capricho espagnol;Rimsky-Korsakov; Nicolai;14' 40;;
693;Sonata para violin y arpa;Albinoni; Tomaso;La m;8' 05;
694;Fidelio;Beethoven; Ludwig Van;72;64' 32;
695;Divertimento n. 1;Mozart; Wolfgang Amadeus;Re M;K 136;18' 05
696;Vals Rosas del sur;Strauss; Johann (Hijo);388;9' 20;
697;El carnaval de los animales;Saint-Saens; Camille;22' 54;;
698;Take care in whom you trust;Strauss; Johann (Hijo);463;2' 51;
699;Concierto Grosso;Haendel; Georges Friederic;Re m;06-oct;16' 39
700;Canciones del Camarada Errante;Mahler; Gustav;17' 05;;
701;La muerte y la doncella;Schubert; Franz;D 531;2' 56;
702;Suite Bergamasque;Debussy; Claude;16' 25;;
703;Divertimento n. 5;Mozart; Wolfgang Amadeus;9' 35;;
704;El barbero de Sevilla. Obertura.;Rossini; Gioacchino Antonio;7' 34;;
705;Mi patria;Smetana; Bedrich;71' 51;;
706;Sarabande;Tansman; Alexandre;3' 11;;
707;Las cuatro estaciones. El verano;Vivaldi; Antonio;RV 315;9' 30;
708;En el jardin del Monasterio;Ketelbey; Albert;5' 29;;
709;Estudio n. 12 “Estudio revolucion”;Chopin; Frederic;Do m;10-dic;2' 57
710;Rondo;Sor; Ferdinando;4' 10;;
711;Concierto para violin, cuerda y bajo continuo;Bach; Johann Sebastian;La m;BWV 1041;15' 49
712;Sonatina;Bartok; Bela;Sz 055;4' 03;
713;Summer Evening;Delius; Frederick;6' 22;;
714;Parsifal;Wagner; Richard;77' 57;;
715;Psyche;Falla; Manuel de;5' 12;;
716;Pavana n. 4;Milan; Luis;0' 56;;
717;Romanzas y Baladas (Tragodie II);Schumann; Robert;049 / 3;1' 59;
718;Cancion de cuna;Brouwer; Leo;3' 35;;
719;Navarra;Albeniz; Isaac;5' 30;;
720;Canciones sin palabras;Tchaikovsky; Piotr Ilyich;3' 09;;
721;Olvidar tan pronto;Tchaikovsky; Piotr Ilyich;2' 29;;
722;Sinfonia n. 2;Bruckner; Anton;Do m;56' 58;
723;Schottisch - Choro;Villa-Lobos; Heitor;3' 18;;
724;La clemenza di Tito. Obertura y aria;Mozart; Wolfgang Amadeus; ; ;10' 33
725;Dos rapsodias;Brahms; Johannes;79;14' 22;
726;Carnaval;Schumann; Robert;9;26' 48;
727;La Boheme;Puccini; Giacomo;103' 26;;
728;Saudade n. 3;Dyens; Roland;5' 55;;
729;Ballada n. 4;Chopin; Frederic;Fa m;52;11' 40
730;La tempestad;Tchaikovsky; Piotr Ilyich;18;22' 22;
731;Danza Lenta;Granados; Enrique;4' 05;;
732;2 Nocturnos;Chopin; Frederic;48;12' 20;
733;Cantata n. 140;Bach; Johann Sebastian;BWV 0140;31' 10;
734;Concierto n. 3 para clavicordio, cuerdas y continuo;Bach; Johann Sebastian;Re M;BWV 1054;11' 04
735;Sinfonia n. 29;Mozart; Wolfgang Amadeus;La M;K 201;28' 44
736;Suegno;Tarrega; Francisco;6' 36;;
737;Pastoral;Bach; Johann Sebastian;Fa M;BWV 0590;12' 31
738;Canciones Biblicas;Dvorak; Antonin;99;26' 48;
739;El poema del extasis;Scriabin; Alexander;54;20' 25;
740;Sonata para trompeta y orquesta;Telemann; Georg Philipp;Re M;9' 07;
741;Gaspar de la noche;Ravel; Maurice;21' 13;;
742;Dos piezas para orquesta (Al escuchar el primer cuco ...;Delius; Frederick;7' 12;;
743;12 Danzas Espagnolas. (Guitarra).;Granados; Enrique;37;57' 51;
744;Danza hungara n. 1;Brahms; Johannes;3' 26;;
745;Harmoniemesse;Haydn; Franz Joseph;Si b M;HV 22 / 14;43' 09
746;Vals Sangre vienesa;Strauss; Johann (Hijo);354;9' 26;
747;Oberon. Obertura;Weber; Carl Maria von;8' 55;;
748;Concierto para piano y orquesta n. 2;Rachmaninov; Sergei;Do m;18;32' 59
749;Sonata No. 2  para violin y piano (Poema mistico);Bloch; Ernest;23' 17;;
750;Trio para piano n. 1 “Fantasma”;Beethoven; Ludwig Van;70;27' 34;
751;Dance Rhapsody n. 2;Delius; Frederick;7' 40;;
752;Pavana n. 1;Milan; Luis;1' 16;;
753;Preludio de la suite para Laud;Bach; Johann Sebastian;Sol m;6' 25;
754;Suite del Ballet “La bella durmiente del bosque”;Tchaikovsky; Piotr Ilyich;066 a;20' 01;
755;Sicialiana;Bach; Johann Sebastian;2' 51;;
756;Souvenir de Hapsal (Cantos sin palabras n. 3);Tchaikovsky; Piotr Ilyich;2;3' 14;
757;La Creacion;Haydn; Franz Joseph;70 ‘06;;
758;12 Estudios;Chopin; Frederic;25;27' 30;
759;Fandango;Soler; Antonio;Re m;13' 02;
760;Sinfonia n. 9. “Coral”;Beethoven; Ludwig van;Re m;125;79' 02
761;“Musica Acuatica”, Suite n. 1;Haendel; Georges Friederic;Fa M;HV 348;32' 13
762;Pavana n. 3;Milan; Luis;1' 38;;
763;Obertura de La battaglia si legnano;Verdi; Giuseppe;8' 24;;
764;Cuarteto para cuerda n. 5 “La alondra”;Haydn; Franz Joseph;Re M;64 / 5;18' 28
765;L'estro Armorico (12 conciertos);Vivaldi; Antonio;3;117';
766;Marcha turca;Mozart; Wolfgang Amadeus;K 331;3' 15;
767;Concierto para piano y orquesta n. 2;Chopin; Frederic;Fa m;21;31' 29
768;El corazon de la noche;Tchaikovsky; Piotr Ilyich;2' 14;;
769;El cisne de “El carnaval de los animales”;Saint-Saens; Camille;2' 31;;
770;Polka Pizzicato;Strauss; Johann (Hijo);2' 41;;
771;Galop (Masquerade);Khachaturian; Aram;2' 36;;
772;Concierto Grosso;Haendel; Georges Friederic;Re M;03-jun;7' 06
773;Suite de “La Arlesiana” n. 1;Bizet; Georges;15' 10;;
774;Danza hungara n. 15;Brahms; Johannes;2' 15;;
775;Piezas liricas – Libro 3;Grieg; Edvard Hagerup;43;6' 32;
776;Serenata;Tchaikovsky; Piotr Ilyich;065 / 1;1' 45;
777;Vals EL Tesoro;Strauss; Johann (Hijo);418;3' 56;
778;Coppelia;Delibes; Leo;90' 55;;
779;Requiem de Guerra;Britten; Benjamin;84' 25;;
780;7 Canciones;Mussorgsky; Modest;22' 15;;
781;Sinfonia n. 1;Borodin; Alexander;Mi b M;35' 09;
782;Romanzas sin palabaras;Mendelssohn-Bartholdy; Felix;38;13' 43;
783;Serenata;Elgar; Edward;Mi m;20;13' 05
784;Mazurca;Tchaikovsky; Piotr Ilyich;Re M;040 / 05;3' 26
785;Bolero;Ravel; Maurice;15' 03;;
786;Concierto Grosso;Haendel; Georges Friederic;La m;06-abr;10' 49
787;Mabelita;Barrios; Agustin;2' 00;;
788;Adagio y Allegro;Mozart; Wolfgang Amadeus;Fa m;K 594;7' 46
789;Vals n. 9;Chopin; Frederic;La b M;69 / 1;4' 11
790;12 Preludios - 2º libro.;Debussy; Claude;21' 12;;
791;Coro de “Gloria in excelsis Deo”;Bach; Johann Sebastian;BWV 0191;6' 47;
792;Vals n. 4;Barrios; Agustin;8;4' 13;
793;Concierto para trompeta y orquesta n. 1;Haendel; Georges Friederic;Re M;7' 33;
794;Danza hungara n. 8;Brahms; Johannes;2' 59;;
795;Liederalbum fur die Jugend (Zigeunerliedchen II);Schumann; Robert;079 / 8;1' 24;
796;Polka del Tritsch-Tratsch;Strauss; Johann (Hijo);214;2' 38;
797;En el ruido de la pelota;Tchaikovsky; Piotr Ilyich;038 / 3;2' 22;
798;Concierto para violin y orquesta;Bach; Johann Sebastian;Sol m;BWV 1056;10' 09
799;Preludio n. 15 “Gota de lluvia”;Chopin; Frederic;Re # M;28 / 15;6' 53
800;Bolero;Ravel; Maurice;15' 08;;
801;Sinfonia n. 7;Beethoven; Ludwig Van;La M;92;38' 27
802;Tzigane. Rapsodia de concierto;Ravel; Maurice;8' 56;;
803;Rapsodia sobre un tema de Paganini;Rachmaninov; Sergei;43;23' 32;
804;Obertura “Fidelio”;Beethoven; Ludwig Van;72;6' 17;
805;Concierto para piano n. 2 ;Bartok; Bela;Sz 119;23' 22;
806;Para Elisa. Bagatela.;Beethoven; Ludwig van;La m;Wo0.59;2' 53
807;Cuarteto de cuerda “Slavonik”;Dvorak; Antonin;Mi b M;51;31' 02
808;Requiem para solista, coro y orquesta;Dvorak; Antonin;89;102' 25;
809;Sonata para clavicembalo;Scarlatti; Domenico;K 479;2' 30;
810;Los preludios: Poema Sinfonico n. 3;Liszt; Franz;16' 45;;
811;Duett: Largo - Allegro poco;Carulli; Fernando;6' 20;;
812;Sinfonia n. 32 (Obertura al estilo italiano);Mozart; Wolfgang Amadeus;Sol M;K 318;8' 18
813;Rapsodia espagnola;Liszt; Franz;11' 41;;
814;Romanzas sin palabras;Mendelssohn-Bartholdy; Felix;102;12' 32;
815;Concierto n. 7;Albinoni; Tomaso;Re m;7' 30;
816;Quinteto de cuerda;Mozart; Wolfgang Amadeus;Sol m;K 516;34' 27
817;Cuarteto de cuaerdas n. 2;Borodin; Alexander;Re M;27' 36;
818;Serenata “Pequegna musica nocturna”;Mozart; Wolfgang Amadeus;K 525;18' 31;
819;Concierto para piano y orquesta;Boieldieu; Francois Adrien;Fa M;20' 06;
820;Romanzas y Baladas (Die Feindlichen Bruder);Schumann; Robert;049 / 2;2' 10;
821;Despedida del Zar (Zar Saltan);Rimsky-Korsakov; Nicolai;57;4' 10;
822;Danzas andaluzas para dos pianos;Infante; Manuel;17' 07;;
823;Cuatro piezas para piano;Brahms; Johannes;119;15' 35;
824;Seis conciertos. 5.;Vivaldi; Antonio;RV 434 (10);9' 19;
825;Fantasia sinfonica de “El Kalevala”;Sibelius; Jean;49;15' 18;
826;Brigg Fair – An English Rhapsody;Delius; Frederick;15' 51;;
827;Sinfonia Concertante;Haydn; Franz Joseph;Si b M;84;22' 01
828;Obertura de Rigoletto.;Verdi; Giuseppe;2' 08;;
829;Polka Campigna;Strauss; Johann (Hijo);211;2' 46;
830;Il Trovatore;Verdi; Giuseppe;129' 01;;
831;Preludio;Rachmaninov; Sergei;Mi b M;23-jun;3' 06
832;Sons de carrilhoes;Pernambuco; Joao;2' 28;;
833;Sinfonia n. 88;Haydn; Franz Joseph;Sol M;21' 12;
834;Sinfonia n. 2;Borodin; Alexander;Si m;25' 04;
835;Barcarola;Tchaikovsky; Piotr Ilyich;373;4' 56;
836;Concierto para la mano izquierda;Ravel; Maurice;17' 31;;
837;Bachianas Brasileiras n. 2;Villa-Lobos; Heitor;22' 05;;
838;Suite Francesa n. 5;Bach; Johann Sebastian;Sol M;BWV 0816;14' 32
839;Canzoneta;Mendelssohn-Bartholdy; Felix;4' 40;;
840;Fantasia de “Greensleeves” para orquesta de cuerda, arp;Vaughan Williams; Ralph;4' 28;;
841;Sinfonia n. 8, “La tarde”;Haydn; Franz Joseph;Sol M;20' 47;
842;Sonata para clavicembalo;Scarlatti; Domenico;K 319;1' 54;
843;Las cuatro estaciones. El invierno;Vivaldi; Antonio;RV 297;8' 35;
844;Concierto para violin y orquesta;Brahms; Johannes;Re M;77;41' 03
845;Campero;Piazzola; Astor;3' 49;;
846;Misa;Bach; Johann Sebastian;Si m;BWV 0232;123' 30
847;Divertimento n. 3;Mozart; Wolfgang Amadeus;15' 27;;
848;Sinfonia n. 3;Borodin; Alexander;La m;16' 00;
849;Sonata para piano n. 30;Beethoven; Ludwig Van;Mi M;109;23' 55
850;Sinfonia n. 7, “El mediodia”;Haydn; Franz Joseph;Do M;20' 47;
851;Tu y Yo (Gavota Romantica);Barrios; Agustin;4' 18;;
852;Concierto para piano n. 20;Mozart; Wolfgang Amadeus;Re m;K 466;29' 56
853;Florida Suite (Daybreak);Delius; Frederick;10' 26;;
854;Vidalita con Variaciones;Barrios; Agustin;3' 41;;
855;Vals triste;Nedbal; Oscar;4' 53;;
856;Sinfonia fantastica;Berlioz; Hector;14;51' 41;
857;Suite Hebraica;Bloch; Ernest;11' 47;;
858;Cuarteto de cuerdas n. 12;Beethoven; Ludwig Van;Mi b M;127;36' 46
859;Pittsburgh;Hindemith; Paul;24' 36;;
860;Sinfonia n. 21;Haydn; Franz Joseph;La M;16' 36;
861;Fantasia sobre un tema de Tallis;Vaughan Williams; Ralph;15' 06;;
862;Concierto para piano n. 1 ;Bartok; Bela;Sz 083;24' 30;
863;Obertura “Candide”;Bernstein; Leonard;4' 21;;
864;Stabat Mater;Dvorak; Antonin;58;86' 12;
865;Gebet Nach Psalme 51 / 130;Mendelssohn-Bartholdy; Felix; ;79;1' 46
866;Danza hungara n. 10;Brahms; Johannes;1' 53;;
867;Sinfonia n. 9. “Del nuevo mundo”;Dvorak; Antonin;Mi m;95;43' 05
868;Bachianas Brasileiras n. 1;Villa-Lobos; Heitor;20' 23;;
869;Serenata para cuerdas;Dvorak; Antonin;Mi M;22;27' 29
870;Cuarteto para cuerda n. 5 “La alondra”;Haydn; Franz Joseph;64 / 5;17' 29;
871;Mi patria (Fragmentos);Smetana; Bedrich;05-mar;2' 42;
872;Sinfonia n. 6 “Tragica”;Mahler; Gustav;La m;79' 18;
873;Sinfonia;Franck; Cesar ;Re m;37' 23;
874;Preludio n. 5;Villa-Lobos; Heitor;3' 27;;
875;Cuarteto de cuerdas n. 13;Beethoven; Ludwig Van;Si b M;130;28' 22
876;Concierto Grosso;Haendel; Georges Friederic;Fa M;03-abr;11' 54
877;Quinteto para guitarra n. 4;Boccherini; Luigi;Re M;G 448;17' 10
878;Vals n. 5;Chopin; Frederic;La b M;42;3' 58
879;El cazador furtivo. Obertura.;Weber; Carl Maria von;9' 19;;
880;Scherzo;Tchaikovsky; Piotr Ilyich;Fa M;002 / 2;4' 09
881;Danza hungara n. 20;Brahms; Johannes;2' 48;;
882;El amor de las tres naranjas. Suite sinfonica.;Prokofiev; Sergei;33 a;16' 02;
883;Fantasia sobre un tema de ‘La Traviata';Tarrega; Francisco;7' 19;;
884;Cantata n. 147;Bach; Johann Sebastian;BWV 0147;33' 38;
885;Sonata para clavicembalo;Scarlatti; Domenico;K 525;2' 56;
886;Momento Musical;Rachmaninov; Sergei;Si m;16-mar;8' 53
887;Sinfonia Espagnola;Lalo; Edouard;21;33'34;
888;Adagio para cuerdas;Barber; Samuel;11;6' 22;
889;Mallorca;Albeniz; Isaac;6' 05;;
890;Cantata: Orfeo;Pergolesi; Giovanni Battista;16' 58;;
891;Pelleas y Melisandre;Faure; Gabriel;80;17' 38;
892;Estudio n. 6;Chopin; Frederic;Mi b m;10-jun;3' 39
893;Melancolia;Castelnuovo-Tedesco; Mario;3' 21;;
894;Sinfonia n. 41 “Jupiter”;Mozart; Wolfgang Amadeus;Do M;K 551;36' 53
895;Noches en los jardines de Espagna;Falla; Manuel de;24' 22;;
896;La gran Pascua Rusa;Rimsky-Korsakov; Nicolai;36;15' 45;
897;Musica para los Reales Fuegos Artificiales;Haendel; Georges Friederic;18' 14;;
