ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
230;Pavana;Tarrega; Francisco;2' 23;;
231;Sinfonia n. 8 “Inacabada”;Schubert; Franz;Si m;D 759;22' 35
232;Trio para piano n. 1;Schubert; Franz;Si b M;D 898;39' 46
233;Vals n. 7;Chopin; Frederic;Do # m;64 / 2;3' 24
234;Nocturno n. 10;Chopin; Frederic;La # M;32 / 2;5' 37
235;Dumka - Escena rustica rusa;Tchaikovsky; Piotr Ilyich;59;8' 05;
236;Suite (obertura) n. 4;Bach; Johann Sebastian;Re M;BWV 1069;19' 09
237;Rosita;Tarrega; Francisco;1' 58;;
238;Concierto de Branderburgo n. 3;Bach; Johann Sebastian;Sol M;BWV 1048;11' 48
239;Danza espagnola n. 5, “Andaluza”;Granados; Enrique;37 / 5;4' 03;
240;Sinfonia n. 95, “Londres”;Haydn; Franz Joseph;Do m;HV 01 / 95;19' 40
241;Concierto grosso n. 3;Corelli; Arcangelo;Do  m;06-mar;11' 42
242;Danza rusa;Tchaikovsky; Piotr Ilyich;La m;040 / 10;2' 03
243;Vals Legendes de la Foret Viennoise;Strauss; Johann (Hijo);354;12' 39;
244;Nocturno n. 11;Chopin; Frederic;Sol m;37 / 1;5' 46
245;Sinfonia n. 5;Mahler; Gustav;Do # m;63' 21;
246;Castilla;Albeniz; Isaac;2' 57;;
247;Seis conciertos. 4.;Vivaldi; Antonio;RV 435 (10);7' 13;
248;Sinfonia n. 2 “Pequegna Rusia”;Tchaikovsky; Piotr Ilyich;17;34' 21;
249;La traviata;Verdi; Giuseppe;39' 50;;
250;Obertura “Coriolan”;Beethoven; Ludwig Van;62;8' 58;
251;Eugene Onegin;Tchaikovsky; Piotr Ilyich;76' 41;;
252;Obertura de In ballo in maschera (Acto II);Verdi; Giuseppe;2' 02;;
253;Sonata para clavicembalo;Scarlatti; Domenico;Do m;K 526;2' 34
254;Variaciones Goldberg;Bach; Johann Sebastian;BWV 0988;75' 50;
255;Vals del emperador;Strauss; Johann (Hijo);437;11' 08;
256;El Salon Mexico;Copland; Aaron;11' 00;;
257;Sonata para clavicembalo;Scarlatti; Domenico;K 455;3' 26;
258;Asturias;Albeniz; Isaac;5' 50;;
259;Vals n. 13;Chopin; Frederic;Re b M;70 / 3;2' 56
260;Concierto para violonchelo y orquesta;Dvorak; Antonin;Si m;104;38' 38
261;Pasion segun San Mateo;Bach; Johann Sebastian;BWV 0244;76' 49;
262;Sinfonia n. 9. “Coral”. 4º mov. Oda a la alegria.;Beethoven; Ludwig Van;Re m;125;7' 37
263;Torre Bermeja;Albeniz; Isaac;4' 12;;
264;Octeto;Beethoven; Ludwig Van;Mi b M;103;22' 04
265;Suite del Ballet “El lago de los cisnes”;Tchaikovsky; Piotr Ilyich;20;26' 16;
266;Polonesa (Nochebuena);Rimsky-Korsakov; Nicolai;4' 23;;
267;Cancion;Falla; Manuel de;1' 50;;
268;Fatum;Tchaikovsky; Piotr Ilyich;77;16' 16;
269;Improvisaciones sobre canciones campesinas hungaras;Bartok; Bela;Sz 074;11' 59;
270;Concierto n. 5;Albinoni; Tomaso;10' 45;;
271;Tarantella;Castelnuovo-Tedesco; Mario;4' 11;;
272;Concierto n. 7;Albinoni; Tomaso;Re m;7' 30;
273;Cuatro canciones;Dvorak; Antonin;82;8' 44;
